date,store_id,sku_id,category,actual_units_sold,actual_true_demand,baseline_forecast,regression_forecast
2026-01-03,ST001,SKU0001,Personalcare,0,6,2,4.462408348091677
2026-01-04,ST001,SKU0001,Personalcare,0,4,10,4.177733204355054
2026-01-05,ST001,SKU0001,Personalcare,0,2,3,3.19847472964692
2026-01-06,ST001,SKU0001,Personalcare,0,4,4,3.3777677355809432
2026-01-07,ST001,SKU0001,Personalcare,0,2,1,3.76209761261983
2026-01-08,ST001,SKU0001,Personalcare,0,4,2,3.7229477528743726
2026-01-09,ST001,SKU0001,Personalcare,0,2,0,3.8543222643740584
2026-01-10,ST001,SKU0001,Personalcare,0,7,2,3.345845913242064
2026-01-11,ST001,SKU0001,Personalcare,0,6,10,3.818670253438377
2026-01-12,ST001,SKU0001,Personalcare,0,12,3,2.5974194728729523
2026-01-13,ST001,SKU0001,Personalcare,0,1,4,2.5416280465603114
2026-01-14,ST001,SKU0001,Personalcare,0,3,1,2.887440968747366
2026-01-15,ST001,SKU0001,Personalcare,0,6,2,2.9286502446424327
2026-01-16,ST001,SKU0001,Personalcare,0,3,0,3.093563344734205
2026-01-17,ST001,SKU0001,Personalcare,0,6,2,2.829489654873049
2026-01-18,ST001,SKU0001,Personalcare,0,7,10,3.2194844705471017
2026-01-19,ST001,SKU0001,Personalcare,0,0,3,1.7622926931900005
2026-01-20,ST001,SKU0001,Personalcare,0,8,4,2.906443488777513
2026-01-21,ST001,SKU0001,Personalcare,0,3,1,2.6497636893543564
2026-01-22,ST001,SKU0001,Personalcare,0,1,2,2.556473474355965
2026-01-23,ST001,SKU0001,Personalcare,0,8,0,3.382581390496726
2026-01-24,ST001,SKU0001,Personalcare,0,8,2,3.322000966515299
2026-01-25,ST001,SKU0001,Personalcare,0,6,10,3.3413199276982057
2026-01-26,ST001,SKU0001,Personalcare,0,6,3,2.4896471036206687
2026-01-27,ST001,SKU0001,Personalcare,0,2,4,1.4448061238675431
2026-01-28,ST001,SKU0001,Personalcare,0,4,1,2.3320072019076856
2026-01-29,ST001,SKU0001,Personalcare,0,3,2,2.521988398000457
2026-01-30,ST001,SKU0001,Personalcare,0,5,0,2.02141979022172
2026-01-03,ST001,SKU0002,Homecare,0,2,7,2.3115838964462996
2026-01-04,ST001,SKU0002,Homecare,0,10,4,2.6037812975209977
2026-01-05,ST001,SKU0002,Homecare,0,2,2,0.9269479340433497
2026-01-06,ST001,SKU0002,Homecare,0,3,9,2.3150759159614016
2026-01-07,ST001,SKU0002,Homecare,0,6,4,2.0777871790760396
2026-01-08,ST001,SKU0002,Homecare,0,4,3,1.7415432862480091
2026-01-09,ST001,SKU0002,Homecare,0,8,5,2.1743605254623795
2026-01-10,ST001,SKU0002,Homecare,0,7,7,1.594965395647073
2026-01-11,ST001,SKU0002,Homecare,0,9,4,2.2709348888337706
2026-01-12,ST001,SKU0002,Homecare,0,2,2,0.9870890569392343
2026-01-13,ST001,SKU0002,Homecare,0,6,9,1.9108486836021532
2026-01-14,ST001,SKU0002,Homecare,0,2,4,1.7443241117216444
2026-01-15,ST001,SKU0002,Homecare,0,2,3,2.1565492581675474
2026-01-16,ST001,SKU0002,Homecare,0,6,5,2.486046612299552
2026-01-17,ST001,SKU0002,Homecare,0,2,7,2.096893480612417
2026-01-18,ST001,SKU0002,Homecare,0,2,4,2.806284496555928
