date,store_id,sku_id,region,city_tier,store_size,category_x,price,cost,shelf_life_days,moq_units,on_hand_open,receipts_units,on_hand_close,stockout_flag,days_of_cover,region_repl,city_tier_repl,store_size_repl,category_repl,price_repl,cost_repl,shelf_life_days_repl,moq_units_repl,avg_daily_demand,demand_std_dev,lead_time_days,service_level_target,safety_stock,reorder_point,recommended_order_qty,on_hand_units,category_y,forecast_avg_daily_demand,forecast_28d_units,category,projected_days_to_zero,doh_threshold,risk_flag,recommended_action
2026-01-30,ST012,SKU0088,East,2,M,Dairy,197.58,157.72,19,12,0,0,0.0,1,0.0,East,2,M,Dairy,197.58,157.72,19,12,10.4643,6.4243,7.0,0.97,31.9545,105.2045,119.2929,0.0,Dairy,5.7737592912543265,161.66526015512113,Dairy,0.0,11.4,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0005,South,1,S,Beverages,262.43,175.54,373,12,0,0,0.0,1,0.0,South,1,S,Beverages,262.43,175.54,373,12,7.0536,5.1643,7.0,0.95,22.5446,71.9196,121.2946,0.0,Beverages,5.777341644172233,161.76556603682252,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0004,South,1,S,Snacks,539.79,385.07,420,24,0,0,0.0,1,0.0,South,1,S,Snacks,539.79,385.07,420,24,6.6071,4.4668,2.0,0.94,9.7913,23.0056,69.2556,0.0,Snacks,6.013235994388567,168.37060784287988,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0003,South,1,S,Snacks,220.56,169.92,396,48,0,0,0.0,1,0.0,South,1,S,Snacks,220.56,169.92,396,48,6.2143,4.7241,7.0,0.94,19.373,62.873,106.373,0.0,Snacks,6.679714074118594,187.03199407532063,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0002,South,1,S,Homecare,372.13,210.62,536,12,0,0,0.0,1,0.0,South,1,S,Homecare,372.13,210.62,536,12,2.6607,2.3063,7.0,0.95,10.0683,28.6933,47.3183,0.0,Homecare,3.0723169309612834,86.02487406691594,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0001,South,1,S,Personalcare,392.55,269.72,510,12,0,0,0.0,1,0.0,South,1,S,Personalcare,392.55,269.72,510,12,4.1429,3.4188,7.0,0.95,14.9248,43.9248,72.9248,0.0,Personalcare,0.9231968011725867,25.849510432832428,Personalcare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0090,East,2,M,Beverages,94.33,66.54,416,12,0,0,0.0,1,0.0,East,2,M,Beverages,94.33,66.54,416,12,9.0893,4.7378,7.0,0.95,20.6827,84.3077,147.9327,0.0,Beverages,6.858881890838497,192.04869294347793,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0089,East,2,M,Beverages,378.75,224.18,338,6,0,0,0.0,1,0.0,East,2,M,Beverages,378.75,224.18,338,6,7.1607,4.4549,7.0,0.95,19.448,69.573,119.698,0.0,Beverages,11.913239357356348,333.57070200597775,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0087,East,2,M,Homecare,444.35,280.58,357,24,0,0,0.0,1,0.0,East,2,M,Homecare,444.35,280.58,357,24,3.3214,2.2892,7.0,0.95,9.9933,33.2433,56.4933,0.0,Homecare,2.534212530638392,70.95795085787498,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0076,East,2,M,Homecare,219.6,134.25,457,6,0,0,0.0,1,0.0,East,2,M,Homecare,219.6,134.25,457,6,3.6607,3.3373,7.0,0.95,14.5688,40.1938,65.8188,0.0,Homecare,3.1217185688810436,87.40811992866922,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
