store_id,sku_id,inventory_date,region,city_tier,store_size,category,price,cost,avg_daily_demand,demand_std_dev,lead_time_days,service_level_target,z_value,safety_stock_calc,reorder_point_calc,target_days_of_cover,order_up_to_level,current_on_hand,days_of_cover_current,moq_units,shelf_life_days,max_storage_units,remaining_storage_capacity,should_reorder,recommended_order_qty_raw,recommended_order_qty,recommended_action,constraint_notes,recommended_order_cost_value,recommended_order_sales_value
ST001,SKU0001,2026-01-30,WEST,3,M,Personalcare,392.55,269.72,3.625,2.6871,7.0,0.95,1.65,11.730507274136741,37.10550727413674,14,62.48050727413674,0.0,0.0,12,510,1000,1000.0,True,62.48050727413674,63.0,Raise PO,No constraint triggered,16992.36,24730.65
ST001,SKU0002,2026-01-30,WEST,3,M,Homecare,372.13,210.62,4.0357,2.7828,7.0,0.95,1.65,12.148284634910395,40.3981846349104,14,68.6480846349104,0.0,0.0,12,536,1000,1000.0,True,68.6480846349104,69.0,Raise PO,No constraint triggered,14532.78,25676.97
ST001,SKU0003,2026-01-30,WEST,3,M,Snacks,220.56,169.92,7.5893,4.3182,7.0,0.94,1.55,17.70856913273063,70.83366913273062,21,177.08386913273063,0.0,0.0,48,396,1000,1000.0,True,177.08386913273063,178.0,Raise PO,No constraint triggered,30245.76,39259.68
ST001,SKU0004,2026-01-30,WEST,3,M,Snacks,539.79,385.07,8.3393,4.9883,7.0,0.94,1.55,20.45659196072442,78.83169196072441,21,195.5818919607244,0.0,0.0,24,420,1000,1000.0,True,195.5818919607244,196.0,Raise PO,No constraint triggered,75473.72,105798.84
ST001,SKU0005,2026-01-30,WEST,3,M,Beverages,262.43,175.54,6.4643,3.6975,7.0,0.95,1.65,16.14139802989118,61.39149802989118,18,132.4987980298912,0.0,0.0,12,373,1000,1000.0,True,132.4987980298912,133.0,Raise PO,No constraint triggered,23346.82,34903.19
ST001,SKU0006,2026-01-30,WEST,3,M,Dairy,401.14,325.45,9.9107,5.9185,7.0,0.97,1.88,29.43869277292726,98.81359277292725,5,78.99219277292727,0.0,0.0,24,21,1000,1000.0,True,78.99219277292727,79.0,Raise PO,No constraint triggered,25710.55,31690.059999999998
ST001,SKU0007,2026-01-30,WEST,3,M,Dairy,349.25,274.51,10.5536,6.3844,7.0,0.97,1.88,31.756085180278255,105.63128518027824,5,84.52408518027826,0.0,0.0,6,8,1000,1000.0,True,84.52408518027826,51.0,Raise PO,Shelf-life cap applied,14000.01,17811.75
ST001,SKU0008,2026-01-30,WEST,3,M,Beverages,488.51,393.32,8.0357,5.5398,7.0,0.95,1.65,24.183939636508768,80.43383963650876,18,168.82653963650878,0.0,0.0,12,507,1000,1000.0,True,168.82653963650878,169.0,Raise PO,No constraint triggered,66471.08,82558.19
ST001,SKU0009,2026-01-30,WEST,3,M,Homecare,213.23,128.36,2.7143,1.9974,7.0,0.95,1.65,8.719629053388683,27.719729053388683,14,46.71982905338868,0.0,0.0,12,585,1000,1000.0,True,46.71982905338868,47.0,Raise PO,No constraint triggered,6032.920000000001,10021.81
ST001,SKU0010,2026-01-30,WEST,3,M,Homecare,297.06,234.29,3.2679,2.8187,7.0,0.95,1.65,12.305005713821307,35.180305713821305,14,58.05560571382131,0.0,0.0,12,703,1000,1000.0,True,58.05560571382131,59.0,Raise PO,No constraint triggered,13823.109999999999,17526.54
